player,games_played,avg_pts,avg_min,avg_reb,avg_ast,avg_fg_pct,avg_ft_pct,max_pts,avg_stl,avg_blk
Zach Edey,10,14.8,27.8,12.1,1.2,0.609,0.636,32.0,0.7,2.1
Ayo Dosunmu,69,14.8,27.3,3.4,3.6,0.51,0.6,29.0,0.8,0.3
Mikal Bridges,81,14.6,33.2,3.9,3.8,0.498,0.342,35.0,1.3,0.8
Keegan Murray,22,14.5,35.7,6.0,1.7,0.406,0.529,26.0,1.1,1.6
Cam Thomas,39,14.5,22.2,1.8,2.7,0.382,0.745,41.0,0.2,0.1
Anfernee Simons,55,14.3,24.9,2.5,2.4,0.433,0.517,39.0,0.5,0.1
Jeremiah Fears,82,14.3,25.8,3.7,3.4,0.426,0.598,40.0,1.2,0.4
P.J. Washington,55,14.3,31.5,7.2,1.8,0.438,0.502,29.0,1.0,1.1
Scoot Henderson,30,14.2,24.9,2.7,3.7,0.425,0.722,28.0,0.9,0.3
Ivica Zubac,48,14.1,30.1,10.6,2.2,0.6,0.57,33.0,0.4,0.8
Tre Jones,65,14.1,27.0,3.1,5.4,0.54,0.703,34.0,1.2,0.2
Kelly Oubre Jr.,50,14.1,31.5,5.0,1.6,0.44,0.605,30.0,1.4,0.5
Santi Aldama,43,14.0,27.9,6.7,2.9,0.468,0.522,37.0,0.9,0.7
GG Jackson,48,14.0,23.9,4.8,1.7,0.509,0.679,30.0,0.6,0.9
Ace Bailey,71,13.9,27.9,4.2,1.8,0.428,0.326,37.0,0.8,0.7
Devin Vassell,67,13.9,30.5,4.0,2.5,0.424,0.554,35.0,0.9,0.4
Naz Reid,76,13.8,26.3,6.3,2.2,0.449,0.469,33.0,1.0,1.0
Ajay Mitchell,56,13.8,26.2,3.4,3.7,0.5,0.683,26.0,1.3,0.3
Brandin Podziemski,82,13.8,28.4,5.1,3.7,0.441,0.602,30.0,1.1,0.2
Aaron Nesmith,45,13.8,29.7,4.2,1.9,0.41,0.584,32.0,0.6,0.5
Brandon Williams,61,13.8,23.4,3.0,4.1,0.468,0.724,26.0,1.0,0.3
Jordan Poole,38,13.8,24.4,2.0,3.1,0.34,0.637,34.0,0.6,0.4
Jalen Suggs,57,13.8,27.6,3.9,5.5,0.451,0.549,28.0,1.8,0.7
Bobby Portis,67,13.7,24.2,6.4,1.6,0.489,0.317,29.0,0.6,0.2
De'Andre Hunter,45,13.7,26.1,4.1,2.0,0.395,0.717,29.0,0.7,0.1
Cedric Coward,62,13.6,25.8,5.9,2.8,0.475,0.697,28.0,0.6,0.4
Leonard Miller,23,13.6,26.8,6.7,1.5,0.558,0.609,26.0,0.6,0.6
John Collins,69,13.6,27.1,5.3,1.0,0.54,0.59,25.0,0.9,0.7
Tobias Harris,61,13.6,28.4,5.3,2.6,0.453,0.679,26.0,1.0,0.4
Tim Hardaway Jr.,80,13.5,26.6,2.6,1.4,0.432,0.517,30.0,0.5,0.1
Reed Sheppard,82,13.5,26.2,2.9,3.4,0.433,0.332,31.0,1.5,0.7
Toumani Camara,82,13.4,33.3,5.1,2.5,0.437,0.455,35.0,1.1,0.4
Quentin Grimes,75,13.4,29.4,3.6,3.3,0.439,0.68,31.0,0.9,0.4
Keldon Johnson,82,13.2,23.3,5.4,1.4,0.514,0.519,27.0,0.6,0.1
Maxime Raynaud,69,13.2,28.0,8.0,1.4,0.555,0.556,32.0,0.5,0.6
Jaylon Tyson,66,13.2,26.9,5.1,2.2,0.482,0.475,39.0,0.8,0.4
Malik Monk,58,13.1,23.0,1.9,3.2,0.43,0.51,32.0,0.6,0.4
Kyle Kuzma,69,13.0,26.2,4.5,2.7,0.495,0.569,33.0,0.7,0.4
Sam Merrill,51,12.9,26.8,2.5,2.5,0.459,0.492,32.0,0.6,0.1
Devin Carter,25,12.8,25.0,4.4,3.7,0.403,0.577,29.0,1.1,0.3
Collin Gillespie,80,12.7,28.5,4.1,4.6,0.397,0.411,30.0,1.2,0.2
Deandre Ayton,71,12.6,27.5,8.1,0.8,0.669,0.421,29.0,0.6,1.0
Caleb Love,39,12.6,24.4,2.8,3.0,0.367,0.369,26.0,0.7,0.1
Obi Toppin,22,12.5,18.4,4.6,2.4,0.493,0.475,26.0,0.5,0.0
Jonathan Kuminga,34,12.5,23.9,5.8,2.4,0.435,0.548,27.0,0.6,0.3
Jaylen Wells,69,12.5,26.4,3.2,1.6,0.442,0.543,25.0,0.9,0.1
Cameron Johnson,53,12.4,30.9,3.8,2.5,0.463,0.58,28.0,0.8,0.4
Noah Clowney,65,12.4,27.3,4.2,1.7,0.393,0.579,31.0,0.8,0.7
Donte DiVincenzo,81,12.3,30.7,4.1,3.8,0.404,0.32,25.0,1.3,0.4
De'Anthony Melton,49,12.3,23.0,3.2,2.6,0.377,0.555,28.0,1.6,0.4
Max Christie,77,12.3,29.1,3.2,2.0,0.442,0.539,26.0,0.6,0.4
Moses Moody,59,12.3,25.9,3.3,1.7,0.424,0.458,32.0,1.0,0.6
Tre Johnson,60,12.2,24.0,2.8,2.0,0.423,0.512,26.0,0.6,0.3
Duncan Robinson,77,12.2,27.4,2.7,2.1,0.451,0.391,23.0,0.6,0.3
Donovan Clingan,77,12.1,27.2,11.6,2.1,0.514,0.514,28.0,0.6,1.7
Christian Braun,44,12.0,31.8,4.8,2.7,0.514,0.579,26.0,0.7,0.3
Miles McBride,41,12.0,26.3,2.4,2.6,0.405,0.343,25.0,0.9,0.2
Josh Hart,66,12.0,30.2,7.4,4.8,0.489,0.479,33.0,1.1,0.3
Isaiah Collier,58,11.9,26.0,2.6,7.3,0.506,0.532,27.0,1.1,0.3
Dyson Daniels,76,11.9,33.2,6.8,5.9,0.513,0.393,28.0,2.0,0.4
Pelle Larsson,66,11.9,27.7,3.7,3.5,0.471,0.636,28.0,0.7,0.2
Tristan Vukcevic,33,11.9,17.9,4.0,1.4,0.499,0.61,22.0,0.6,0.8
Bilal Coulibaly,55,11.9,26.5,4.4,2.6,0.411,0.655,29.0,1.4,1.0
Myles Turner,71,11.9,26.9,5.3,1.5,0.424,0.555,31.0,0.7,1.6
Derik Queen,80,11.8,25.2,7.1,3.7,0.459,0.614,33.0,1.1,0.9
Olivier-Maxence Prosper,44,11.8,21.8,4.0,1.2,0.559,0.514,31.0,0.9,0.3
Wendell Carter Jr.,78,11.8,29.3,7.4,2.0,0.511,0.628,28.0,0.8,0.6
Jarace Walker,74,11.8,26.2,5.3,2.6,0.418,0.528,26.0,0.9,0.4
Dylan Harper,69,11.8,22.6,3.4,3.9,0.493,0.47,24.0,0.8,0.3
Kel'el Ware,72,11.7,23.2,9.4,0.8,0.538,0.378,28.0,0.8,1.2
Will Riley,63,11.7,25.1,3.2,2.2,0.423,0.561,31.0,0.8,0.1
Mark Williams,60,11.7,23.6,8.0,1.0,0.624,0.584,27.0,0.9,0.9
Kyle Filipowski,74,11.7,24.0,7.3,2.6,0.5,0.528,26.0,1.0,0.5
Klay Thompson,69,11.7,21.7,2.1,1.4,0.384,0.271,26.0,0.5,0.3
Nic Claxton,69,11.7,27.8,6.9,3.7,0.567,0.503,28.0,0.7,1.1
Rui Hachimura,68,11.5,28.3,3.3,0.8,0.494,0.25,28.0,0.6,0.3
Gui Santos,52,11.4,25.1,4.8,2.9,0.51,0.384,31.0,1.1,0.4
Scotty Pippen Jr.,10,11.4,21.2,2.2,4.7,0.455,0.567,18.0,1.9,0.4
Daeqwon Plowden,30,11.4,27.6,3.1,1.3,0.428,0.528,23.0,0.8,0.2
Isaiah Joe,68,11.4,21.8,2.6,1.4,0.443,0.487,22.0,0.7,0.2
Jaden Hardy,44,11.3,18.8,1.7,1.2,0.431,0.439,25.0,0.3,0.1
Max Strus,12,11.2,24.0,5.4,2.0,0.404,0.25,29.0,0.3,0.0
Sandro Mamukelashvili,80,11.2,21.9,4.9,1.9,0.509,0.508,24.0,0.8,0.5
Cam Spencer,72,11.1,23.8,2.5,5.6,0.473,0.623,27.0,0.7,0.2
Julian Champagnie,82,11.1,27.6,5.8,1.5,0.428,0.465,36.0,0.8,0.5
